kanji,frame,key word,components,on_reading,kun_reading,stroke_count,jlpt
狂,277,lunatic,pack of wild dogs; king; jewel; ball,キョウ,くる.う; くる.おしい; くるお.しい,7,N1
旺,278,effulgent,sun; day; king; jewel; ball,オウ; キョウ; ゴウ,かがや.き; うつくし.い; さかん,8,N1
皇,279,emperor,white; dove; king; jewel; ball,コウ; オウ,,9,N1
呈,280,display,mouth; king; jewel; ball,テイ,,7,N1
全,281,whole,umbrella; king; jewel; ball,ゼン,まった.く; すべ.て,6,N3
栓,282,plug,tree; wood; whole; umbrella; king; jewel; ball,セン,,10,N1
理,283,logic,king; jewel; ball; computer,リ,ことわり,11,N4
主,284,lord,drop; king; jewel; ball,シュ; ス; シュウ,ぬし; おも; あるじ,5,N4
注,285,pour,water; water droplets; water pistol; candlestick; lord; drop; king; jewel; ball,チュウ,そそ.ぐ; さ.す; つ.ぐ,8,N4
柱,286,pillar,tree; wood; candlestick; lord; drop; king; jewel; ball,チュウ,はしら,9,N2
金,287,gold,metal; umbrella; drop; king; jewel; ball,キン; コン; ゴン,かね; かな-; -がね,8,N5
銑,288,pig iron,pig-iron; metal; gold; before; cow; human legs,セン,,14,N1
鉢,289,bowl,metal; gold; origin; book; tree; wood; one,ハチ; ハツ,,13,N1
銅,290,copper,metal; gold; same; monks; hood; one; mouth,ドウ,あかがね,14,N2
釣,291,angling,metal; gold; ladle; bound up; drop,チョウ,つ.る; つ.り; つ.り-,11,N1
針,292,needle,metal; gold; ten,シン,はり,10,N2
銘,293,inscription,metal; gold; name; evening; mouth,メイ,,14,N1
鎮,294,tranquillize,tranquilize; metal; gold; true; truth; ten; needle; eye; tool; animal legs; eight,チン,しず.める; しず.まる; おさえ,18,N1
道,295,road-way,neck; horns; drop; eye; road,ドウ; トウ,みち,12,N4
導,296,guidance,neck; horns; drop; eye; road; glue,ドウ,みちび.く,15,N2
辻,297,crossing,cross; ten; needle; road,,つじ,5
迅,298,swift,fishhook; cross; ten; needle; road,ジン,,6,N1
造,299,create,revelation; cow; mouth; road,ゾウ,つく.る; つく.り; -づく.り,10,N2
迫,300,urge,white; dove; road,ハク,せま.る,8,N1
逃,301,escape,turtle; portent; road,トウ,に.げる; に.がす; のが.す; のが.れる,9,N3
辺,302,environs,dagger; sword; road,ヘン,あた.り; ほと.り; -べ,5,N2
